timesteps,n_updates,actor_loss,actor_base_loss,critic_loss,ent_coef,ent_coef_loss,support_actor_loss,support_actor_weighted_loss,replay_support_actor_loss,replay_support_actor_weighted_loss,support_actor_weight,learning_rate,replay_buffer_pos,replay_buffer_full
13057,3239,148.60699462890625,10.367862701416016,8147367.5,0.9932131767272949,-0.04377637431025505,0.0022952533327043056,45.905067443847656,0.0046167029067873955,92.33406066894531,20000.0,3e-06,763,False
13061,3240,157.37124633789062,10.634692192077637,9211329.0,0.9932100772857666,-0.04303660988807678,0.0023381495848298073,46.76299285888672,0.004998677875846624,99.97355651855469,20000.0,3e-06,764,False
13065,3241,159.45285034179688,10.343766212463379,6695639.0,0.9932071566581726,-0.04405813664197922,0.0023953733034431934,47.907466888427734,0.0050600809045135975,101.20161437988281,20000.0,3e-06,765,False
13069,3242,166.23663330078125,10.321882247924805,8207525.5,0.9932041764259338,-0.043499283492565155,0.0023710804525762796,47.421607971191406,0.005424657370895147,108.49314880371094,20000.0,3e-06,766,False
13073,3243,167.20237731933594,10.483519554138184,7419640.0,0.9932011365890503,-0.04310138523578644,0.0022813172545284033,45.626346588134766,0.005554625764489174,111.09251403808594,20000.0,3e-06,767,False
13077,3244,150.76239013671875,10.62997055053711,9321584.0,0.9931982159614563,-0.04390206187963486,0.002401554025709629,48.03108215332031,0.00460506696254015,92.1013412475586,20000.0,3e-06,768,False
13081,3245,154.70497131347656,10.463994026184082,8654622.0,0.9931952357292175,-0.04361190274357796,0.0024328131694346666,48.65626525878906,0.0047792354598641396,95.58470916748047,20000.0,3e-06,769,False
13085,3246,162.80471801757812,10.564950942993164,7887042.5,0.9931923151016235,-0.043448306620121,0.002261445624753833,45.228912353515625,0.005350543186068535,107.0108642578125,20000.0,3e-06,770,False
13089,3247,155.1401824951172,10.45691967010498,8134915.0,0.99318927526474,-0.04411514103412628,0.002446614671498537,48.93229293823242,0.004787548445165157,95.75096893310547,20000.0,3e-06,771,False
13093,3248,155.87574768066406,10.577083587646484,8650076.0,0.9931862950325012,-0.04327857121825218,0.0020905425772070885,41.81085205078125,0.005174390505999327,103.48780822753906,20000.0,3e-06,772,False
13097,3249,164.2333984375,10.501084327697754,8284447.0,0.9931833744049072,-0.04385192692279816,0.0025479132309556007,50.9582633972168,0.005138702690601349,102.77405548095703,20000.0,3e-06,773,False
13101,3250,164.30548095703125,10.638477325439453,8224422.0,0.9931803345680237,-0.04356402903795242,0.002495723543688655,49.91447067260742,0.005187626928091049,103.7525405883789,20000.0,3e-06,774,False
13105,3251,143.20648193359375,10.733280181884766,8559684.0,0.9931773543357849,-0.044059522449970245,0.002359134377911687,47.18268585205078,0.004264526069164276,85.29051971435547,20000.0,3e-06,775,False
13109,3252,151.64004516601562,10.64340591430664,8201032.0,0.9931744337081909,-0.04386231303215027,0.0023823301307857037,47.646602630615234,0.0046675014309585094,93.35002899169922,20000.0,3e-06,776,False
13113,3253,162.57156372070312,10.466320991516113,8222592.0,0.9931713938713074,-0.04440385848283768,0.002468749415129423,49.3749885559082,0.005136513151228428,102.73026275634766,20000.0,3e-06,777,False
13117,3254,143.55056762695312,10.689729690551758,8923045.0,0.9931684136390686,-0.0440216138958931,0.002411465160548687,48.22930145263672,0.004231576807796955,84.63153839111328,20000.0,3e-06,778,False
13121,3255,180.89910888671875,10.59536361694336,8171365.0,0.9931654334068298,-0.043416451662778854,0.002229988109320402,44.599761962890625,0.006285198964178562,125.7039794921875,20000.0,3e-06,779,False
13125,3256,142.56524658203125,10.446361541748047,8477741.0,0.9931624531745911,-0.04445478692650795,0.0023497240617871284,46.99448013305664,0.004256220534443855,85.1244125366211,20000.0,3e-06,780,False
13129,3257,161.5391845703125,10.58079719543457,7992916.0,0.9931594729423523,-0.04379088431596756,0.002443947596475482,48.87895202636719,0.0051039718091487885,102.07943725585938,20000.0,3e-06,781,False
13133,3258,159.8948974609375,10.575601577758789,8842993.0,0.9931564331054688,-0.04396222159266472,0.002340280218049884,46.80560302734375,0.005125684663653374,102.5136947631836,20000.0,3e-06,782,False
13137,3259,155.16549682617188,10.879633903503418,9146077.0,0.99315345287323,-0.04334969073534012,0.002384638413786888,47.69276809692383,0.004829654470086098,96.59308624267578,20000.0,3e-06,783,False
13141,3260,145.53494262695312,10.626670837402344,7857725.0,0.993150532245636,-0.04358728602528572,0.0023086911533027887,46.173824310302734,0.00443672202527523,88.73444366455078,20000.0,3e-06,784,False
13145,3261,153.0491485595703,10.873802185058594,8127935.0,0.9931474924087524,-0.043717965483665466,0.002231873571872711,44.63747024536133,0.004876893479377031,97.53787231445312,20000.0,3e-06,785,False
13149,3262,156.31210327148438,10.936418533325195,7385631.0,0.9931445121765137,-0.04363873973488808,0.002449046354740858,48.980926513671875,0.004819738212972879,96.39476776123047,20000.0,3e-06,786,False
13153,3263,160.52037048339844,10.771602630615234,9015590.0,0.9931415915489197,-0.04370484501123428,0.0024238768965005875,48.4775390625,0.0050635612569749355,101.27122497558594,20000.0,3e-06,787,False
13157,3264,166.60972595214844,10.667174339294434,8964533.0,0.9931385517120361,-0.043949563056230545,0.0024126614443957806,48.25322723388672,0.005384466145187616,107.68932342529297,20000.0,3e-06,788,False
13161,3265,156.68807983398438,10.938516616821289,8242346.0,0.9931355714797974,-0.0438268706202507,0.002309414092451334,46.18828201293945,0.004978064447641373,99.56128692626953,20000.0,3e-06,789,False
13165,3266,161.4632110595703,10.82449722290039,7928358.0,0.9931326508522034,-0.04392395168542862,0.0023048094008117914,46.096187591552734,0.005227126181125641,104.54252624511719,20000.0,3e-06,790,False
13169,3267,158.07940673828125,10.97484016418457,7710821.0,0.9931296110153198,-0.04397542029619217,0.002437734976410866,48.75469970703125,0.004917493090033531,98.34986114501953,20000.0,3e-06,791,False
13173,3268,143.646484375,10.714481353759766,8028782.0,0.993126630783081,-0.04375755414366722,0.002243747701868415,44.87495422363281,0.004402852617204189,88.05705261230469,20000.0,3e-06,792,False
13177,3269,158.6383514404297,10.687873840332031,9732725.0,0.9931237101554871,-0.043821390718221664,0.0022690987680107355,45.38197708129883,0.00512842508032918,102.5685043334961,20000.0,3e-06,793,False
13181,3270,146.50816345214844,10.857109069824219,9926058.0,0.9931207299232483,-0.04388824850320816,0.002261835616081953,45.23671340942383,0.004520717076957226,90.41434478759766,20000.0,3e-06,794,False
13185,3271,155.8345489501953,10.701797485351562,9284216.0,0.9931176900863647,-0.04426245391368866,0.002277152147144079,45.54304122924805,0.004979485645890236,99.58971405029297,20000.0,3e-06,795,False
13189,3272,159.80374145507812,10.984931945800781,8552316.0,0.9931147694587708,-0.04453561455011368,0.0020598433911800385,41.196868896484375,0.005381097085773945,107.62194061279297,20000.0,3e-06,796,False
13193,3273,180.4235076904297,10.965153694152832,8869610.0,0.993111789226532,-0.04395806044340134,0.0026120170950889587,52.24034118652344,0.00586090050637722,117.21800994873047,20000.0,3e-06,797,False
13197,3274,180.36407470703125,11.020956993103027,8146666.0,0.9931087493896484,-0.043867599219083786,0.0021886765025556087,43.773529052734375,0.0062784794718027115,125.56958770751953,20000.0,3e-06,798,False
13201,3275,161.14759826660156,10.929391860961914,9493315.0,0.9931058287620544,-0.04412594065070152,0.002323948312550783,46.478965759277344,0.005186961963772774,103.73924255371094,20000.0,3e-06,799,False
13205,3276,152.710693359375,10.627382278442383,8901894.0,0.9931028485298157,-0.04479717090725899,0.0021503884345293045,43.00777053833008,0.004953776486217976,99.07553100585938,20000.0,3e-06,800,False
13209,3277,140.3419952392578,11.000650405883789,9123482.0,0.9930998682975769,-0.04454386234283447,0.0023124697618186474,46.249393463134766,0.004154597409069538,83.09194946289062,20000.0,3e-06,801,False
13213,3278,167.65328979492188,11.120526313781738,8922218.0,0.9930968880653381,-0.04406629875302315,0.0025114305317401886,50.22861099243164,0.005315207410603762,106.30414581298828,20000.0,3e-06,802,False
13217,3279,143.59176635742188,10.826385498046875,7768622.0,0.9930939078330994,-0.04425164312124252,0.002227388322353363,44.547767639160156,0.004410881083458662,88.21762084960938,20000.0,3e-06,803,False
13221,3280,151.30926513671875,11.11805534362793,8319426.0,0.9930908679962158,-0.04404398053884506,0.002291675191372633,45.83350372314453,0.0047178855165839195,94.35771179199219,20000.0,3e-06,804,False
13225,3281,150.52597045898438,10.82457160949707,8822232.0,0.993087887763977,-0.04416530579328537,0.002464625518769026,49.292510986328125,0.0045204441994428635,90.40888214111328,20000.0,3e-06,805,False
13229,3282,156.23753356933594,10.99907398223877,7938189.0,0.9930849671363831,-0.04397893324494362,0.0023128772154450417,46.257545471191406,0.004949045833200216,98.98091888427734,20000.0,3e-06,806,False
13233,3283,147.54446411132812,10.85380744934082,8340768.0,0.9930819272994995,-0.04476890712976456,0.0022566434927284718,45.132869720458984,0.004577889572829008,91.55779266357422,20000.0,3e-06,807,False
