expert,seed,step,connect_violation_pct,reactive_violation_pct,recover_violation_pct,limit_status,survive_status,metric_note
hvrt_sym,7,125000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,150000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,175000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,200000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,225000,0.0,80.0,100.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,250000,0.0,40.0,100.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,275000,0.0,0.0,100.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,7,300000,0.0,0.0,100.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,25000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,50000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,75000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,100000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,125000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,150000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,175000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,200000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,225000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,250000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,275000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,31,300000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,25000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,50000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,75000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,100000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,125000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,150000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,175000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,200000,0.0,20.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,225000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,250000,0.0,40.0,100.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,275000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,42,300000,0.0,20.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,25000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,50000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,75000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,100000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,125000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,150000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,175000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,200000,0.0,100.0,100.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,225000,0.0,0.0,100.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,250000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,275000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,123,300000,0.0,0.0,0.0,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,25000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,50000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,75000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,100000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,125000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,150000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,175000,0.0,100.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,200000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
hvrt_sym,2024,225000,0.0,0.0,,NOT_EVALUATED,NOT_EVALUATED,"ODE evaluation success rate, not certified switching frt-v2 pass rate"
