expert,seed,step,ode_selection_proxy_pct,best_proxy_pct,metric_note
hvrt_sym,31,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,175000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,200000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,225000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,250000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,275000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,31,300000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,50000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,75000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,100000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,125000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,150000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,175000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,200000,80.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,225000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,250000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,275000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,42,300000,80.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,50000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,75000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,100000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,125000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,175000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,200000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,225000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,250000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,275000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,123,300000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,25000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,50000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,75000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,100000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,125000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,150000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,175000,0.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,200000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
hvrt_sym,2024,225000,100.0,100.0,"ODE selection proxy, not certified frt-v2 pass rate"
