scenario_idx,sc_id,strategy,vdc_min_pu,vdc_max_pu,i2_max_pu,lvrt_pass
68,3,0,0.821474427009797,1.1145824092191,1.29001119736126,1
68,3,1,0.788734567802031,1.10090206098381,1.28674072199009,1
68,3,2,0.757127736257379,1.09627249849968,1.29198095653874,1
68,3,3,0.725424861529858,1.08706128471205,1.29086072590043,0
69,3,0,0.747945355840796,1.07964527411493,1.26201421137149,0
69,3,1,0.752206012210315,1.07245477969595,1.24929916414274,1
69,3,2,0.752262261916725,1.06849711612824,1.24558005103438,1
69,3,3,0.747466936366503,1.06682447162652,1.25672268361743,0
70,3,0,0.84758128244282,1.08144393556812,1.13319176052648,1
70,3,1,0.815426263462779,1.06999073503269,1.11784349428264,1
70,3,2,0.796134795007042,1.07482741251028,1.10589416841211,1
70,3,3,0.781676844564266,1.08608724991199,1.08682452114201,1
71,3,0,0.788827567880681,1.08127104290534,1.2834925436167,1
71,3,1,0.759841690417653,1.07156986666723,1.24744887223071,1
71,3,2,0.729581749509993,1.07195518117044,1.21817753120469,0
71,3,3,0.709465568586278,1.07847774550838,1.19301300130634,0
72,3,0,0.745047836919546,1.08718051051651,1.37038516689145,0
72,3,1,0.73180119958736,1.07636719016605,1.35584168084472,0
72,3,2,0.728356222599571,1.06545946808913,1.34083470644723,0
72,3,3,0.707717762517158,1.05841668862944,1.287722357178,0
73,3,0,0.819553800980618,1.11840824517354,1.41746106806377,1
73,3,1,0.776267661987837,1.10408408051829,1.41494617899758,1
73,3,2,0.757639434152193,1.09764962157765,1.4179827266756,1
73,3,3,0.735030923578827,1.08792109832095,1.42797224426037,0
74,3,0,0.791843609480735,1.09854386850754,1.24606097393584,1
74,3,1,0.787782246087296,1.07659454397057,1.22737804373215,1
74,3,2,0.780566415792382,1.06425783077264,1.22659584860965,1
74,3,3,0.783491294030688,1.06824754581315,1.21498984050887,1
75,3,0,0.816369302532838,1.0696199455873,1.41338581657455,1
75,3,1,0.773117297614174,1.0337110363669,1.40765332592817,1
75,3,2,0.753096875794292,1.03032940103316,1.41225691925361,1
75,3,3,0.713766738831677,1.03644846629552,1.42192469106714,0
76,3,0,0.748948650913792,1.07899827111047,1.33625317720154,0
76,3,1,0.754264718881693,1.07101576264871,1.321781793206,1
76,3,2,0.754621040400982,1.06716624269469,1.31820533578376,1
76,3,3,0.748803709310927,1.06475188659237,1.33084381548948,0
77,3,0,0.750811139029383,1.07895720241396,1.3779707730305,1
77,3,1,0.755379884534237,1.07167920761342,1.36506536469162,1
77,3,2,0.756195397016182,1.06548136499541,1.36184152602287,1
77,3,3,0.750559828394584,1.06562321106305,1.37334323927218,1
78,3,0,0.794993241116353,1.07889215491307,1.60604027634091,1
78,3,1,0.79654618244471,1.04858760925746,1.55823388187912,1
78,3,2,0.79289019637578,1.04570626982055,1.55074859711513,1
78,3,3,0.766867707353292,1.0532671192806,1.50697843824743,1
79,3,0,0.807881633394629,1.10474656527483,1.44556431282855,1
79,3,1,0.806357485510724,1.09138315494479,1.4004091292871,1
79,3,2,0.79416955733116,1.07860102917555,1.38684163478861,1
79,3,3,0.767625122922414,1.06566978675676,1.3732521311489,1
80,3,0,0.814784684203312,1.11153956049739,1.60123726622419,1
80,3,1,0.823004549462527,1.09712530632846,1.60046490024888,1
80,3,2,0.834925123037595,1.08551658357063,1.61281790244999,1
80,3,3,0.856196253900067,1.06144598611524,1.55082494472461,1
81,3,0,0.810160511189284,1.09240028094518,1.42438404308244,1
81,3,1,0.785254879560764,1.07915669087392,1.4195914176457,1
