scenario_idx,sc_id,sc_label,m_sh,m_se_d,m_se_q
259,7,sc_3ph,0.9,0.0,0.0
260,7,sc_3ph,0.9,0.0,0.0
261,7,sc_3ph,0.9,0.0,0.0
262,7,sc_3ph,0.9,0.0,0.0
263,7,sc_3ph,0.9,0.0,0.0
264,7,sc_3ph,0.9,0.0,0.0
265,7,sc_3ph,0.9,0.0,0.0
266,7,sc_3ph,0.9,0.0,0.0
267,7,sc_3ph,0.9,0.0,0.0
268,7,sc_3ph,0.9,0.0,0.0
269,7,sc_3ph,0.9,0.0,0.0
270,7,sc_3ph,0.9,0.0,0.0
271,7,sc_3ph,0.9,0.0,0.0
272,7,sc_3ph,0.9,0.0,0.0
273,7,sc_3ph,0.9,0.0,0.0
274,7,sc_3ph,0.9,0.0,0.0
275,7,sc_3ph,0.9,0.0,0.0
276,7,sc_3ph,0.9,0.0,0.0
277,7,sc_3ph,0.9,0.0,0.0
278,7,sc_3ph,0.9,0.0,0.0
279,7,sc_3ph,0.9,0.0,0.0
280,7,sc_3ph,0.9,0.0,0.0
281,7,sc_3ph,0.9,0.0,0.0
282,7,sc_3ph,0.9,0.0,0.0
283,7,sc_3ph,0.9,0.0,0.0
284,7,sc_3ph,0.9,0.0,0.0
285,7,sc_3ph,0.9,0.0,0.0
286,7,sc_3ph,0.9,0.0,0.0
287,7,sc_3ph,0.9,0.0,0.0
288,7,sc_3ph,0.9,0.0,0.0
289,7,sc_3ph,0.9,0.0,0.0
290,7,sc_3ph,0.9,0.0,0.0
291,7,sc_3ph,0.9,0.0,0.0
292,7,sc_3ph,0.9,0.0,0.0
293,7,sc_3ph,0.9,0.0,0.0
294,7,sc_3ph,0.9,0.0,0.0
295,7,sc_3ph,0.9,0.0,0.0
296,7,sc_3ph,0.9,0.0,0.0
297,7,sc_3ph,0.9,0.0,0.0
298,7,sc_3ph,0.9,0.0,0.0
299,7,sc_3ph,0.9,0.0,0.0
300,7,sc_3ph,0.9,0.0,0.0
301,8,cascade,0.85,0.1,-0.0401
302,8,cascade,0.85,0.1,-0.0121
303,8,cascade,0.85,0.1,-0.0207
304,8,cascade,0.85,0.1,-0.0365
305,8,cascade,0.85,0.1,-0.0151
306,8,cascade,0.85,0.1,-0.0305
307,8,cascade,0.85,0.1,-0.0397
308,8,cascade,0.85,0.1,-0.026
309,8,cascade,0.85,0.1,-0.0281
310,8,cascade,0.85,0.1,-0.0123
311,8,cascade,0.85,0.1,-0.0254
312,8,cascade,0.85,0.1,-0.0308
313,8,cascade,0.85,0.1,-0.008
314,8,cascade,0.85,0.1,-0.0384
315,8,cascade,0.85,0.1,-0.026
316,8,cascade,0.85,0.1,-0.0297
317,8,cascade,0.85,0.1,-0.0115
318,8,cascade,0.85,0.1,-0.0358
319,8,cascade,0.85,0.1,-0.0367
320,8,cascade,0.85,0.1,-0.0241
321,8,cascade,0.85,0.1,-0.0228
322,8,cascade,0.85,0.1,-0.0457
323,8,cascade,0.85,0.1,-0.0179
324,8,cascade,0.85,0.1,-0.0294
325,8,cascade,0.85,0.1,-0.0338
326,8,cascade,0.85,0.1,-0.031
327,8,cascade,0.85,0.1,-0.0391
328,8,cascade,0.85,0.1,-0.0275
329,8,cascade,0.85,0.1,-0.02
330,8,cascade,0.85,0.1,-0.0152
331,8,cascade,0.85,0.1,-0.0219
332,8,cascade,0.85,0.1,-0.0217
333,8,cascade,0.85,0.1,-0.003
334,8,cascade,0.85,0.1,-0.028
335,8,cascade,0.85,0.1,-0.0209
336,8,cascade,0.85,0.1,-0.0364
337,8,cascade,0.85,0.1,-0.0229
338,8,cascade,0.85,0.1,-0.0444
339,8,cascade,0.85,0.1,-0.0171
340,8,cascade,0.85,0.1,-0.0102
341,8,cascade,0.85,0.1,-0.0285
342,8,cascade,0.85,0.1,-0.0071
343,8,cascade,0.85,0.1,-0.0183
344,8,cascade,0.85,0.1,-0.0324
345,8,cascade,0.85,0.1,-0.0281
346,8,cascade,0.85,0.1,-0.0218
347,8,cascade,0.85,0.1,-0.0342
348,8,cascade,0.85,0.1,-0.0156
349,8,cascade,0.85,0.1,-0.0215
350,8,cascade,0.85,0.1,-0.0213
