scenario_idx,sc_id,m_sh,m_se_d,m_se_q
79,3,0.8465,0.0636,-0.0086
80,3,0.8353,0.0469,-0.0138
81,3,0.8395,0.053,-0.0122
82,3,0.8354,0.0471,-0.0138
83,3,0.8482,0.066,-0.0078
84,3,0.8452,0.0618,-0.0092
85,3,0.833,0.043,-0.0148
86,3,0.8334,0.0437,-0.0146
87,3,0.843,0.0586,-0.0104
88,3,0.8551,0.0739,-0.0041
89,3,0.8405,0.0545,-0.0117
90,3,0.8483,0.0663,-0.0077
91,3,0.847,0.0643,-0.0084
92,3,0.8434,0.0592,-0.0102
93,3,0.8472,0.0646,-0.0082
94,3,0.8476,0.0652,-0.008
95,3,0.858,0.0783,-0.0019
96,3,0.8425,0.0579,-0.0106
97,3,0.8454,0.0621,-0.0091
98,3,0.8428,0.0584,-0.0104
99,3,0.8393,0.0528,-0.0123
100,3,0.8421,0.0574,-0.0108
101,4,0.8964,-0.0926,0.0074
102,4,0.8965,-0.0953,0.0078
103,4,0.8965,-0.0939,0.0073
104,4,0.8965,-0.0937,0.0073
105,4,0.8962,-0.0876,0.008
106,4,0.8959,-0.0766,0.0095
107,4,0.8961,-0.0827,0.0085
108,4,0.8964,-0.0912,0.0076
109,4,0.8961,-0.0846,0.0083
110,4,0.896,-0.0807,0.0087
111,4,0.8963,-0.0881,0.008
112,4,0.8965,-0.0938,0.0073
113,4,0.8961,-0.0833,0.0084
114,4,0.8965,-0.0937,0.0073
115,4,0.8961,-0.0837,0.0084
116,4,0.8962,-0.0857,0.0082
117,4,0.8966,-0.0968,0.0086
118,4,0.8961,-0.0842,0.0083
119,4,0.896,-0.0806,0.0087
120,4,0.8962,-0.0856,0.0082
121,4,0.8961,-0.0846,0.0083
122,4,0.8965,-0.096,0.0081
123,4,0.8963,-0.0887,0.008
124,4,0.8962,-0.0854,0.0082
125,4,0.8961,-0.0844,0.0083
126,4,0.8965,-0.0948,0.0076
127,4,0.8961,-0.0836,0.0084
128,4,0.8965,-0.0945,0.0075
129,4,0.8965,-0.0934,0.0074
130,4,0.8964,-0.091,0.0076
131,4,0.8964,-0.0912,0.0076
132,4,0.8962,-0.0878,0.008
133,4,0.8959,-0.0761,0.0096
134,4,0.8962,-0.0865,0.0081
135,4,0.8962,-0.0873,0.0081
136,4,0.8964,-0.093,0.0074
137,4,0.896,-0.0791,0.009
138,4,0.8962,-0.0875,0.008
139,4,0.8963,-0.0899,0.0078
140,4,0.8961,-0.0833,0.0084
141,4,0.8965,-0.0938,0.0073
142,4,0.8965,-0.0958,0.008
143,4,0.8963,-0.0892,0.0079
144,4,0.8964,-0.0911,0.0076
145,4,0.8962,-0.0855,0.0082
146,4,0.8965,-0.0946,0.0075
147,4,0.8965,-0.0953,0.0078
148,4,0.8962,-0.087,0.0081
149,4,0.8962,-0.086,0.0081
150,4,0.8963,-0.0902,0.0078
151,5,0.7942,-0.096,0.0215
152,5,0.8037,-0.0725,0.0197
153,5,0.8036,-0.0727,0.0197
154,5,0.7843,-0.1128,0.0265
155,5,0.8005,-0.0804,0.0203
156,5,0.7943,-0.0958,0.0215
157,5,0.7865,-0.1088,0.0254
158,5,0.7967,-0.0909,0.0208
159,5,0.7999,-0.082,0.0204
160,5,0.8075,-0.0652,0.0185
161,5,0.7928,-0.0984,0.0221
162,5,0.7911,-0.1012,0.0231
163,5,0.7865,-0.1089,0.0255
164,5,0.7859,-0.1099,0.0257
165,5,0.788,-0.1063,0.0248
