scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
180,5,0.7974,-0.0890,0.0207,0.6097,0.8877,1.3560,0
181,5,0.8004,-0.0805,0.0203,0.6593,0.8933,1.3399,0
182,5,0.7853,-0.1109,0.0260,0.7740,0.8806,1.6368,1
183,5,0.7884,-0.1056,0.0245,0.6121,0.8804,1.5698,0
184,5,0.8059,-0.0681,0.0191,0.6239,0.9288,1.2327,0
185,5,0.7950,-0.0946,0.0212,0.7135,0.8853,1.3926,0
186,5,0.7934,-0.0972,0.0218,0.7743,0.8769,1.3648,1
187,5,0.7808,-0.1184,0.0283,0.7598,0.8744,1.6697,1
188,5,0.8062,-0.0676,0.0190,0.6244,0.9284,1.2278,0
189,5,0.7963,-0.0919,0.0208,0.6094,0.8877,1.3720,0
190,5,0.7936,-0.0970,0.0217,0.7771,0.8822,1.4493,1
191,5,0.8006,-0.0799,0.0203,0.6323,0.8956,1.4120,0
192,5,0.7996,-0.0828,0.0204,0.6295,1.0670,1.4028,0
193,5,0.7994,-0.0835,0.0204,0.6198,0.8888,1.3453,0
194,5,0.7889,-0.1049,0.0243,0.6158,0.8805,1.5685,0
195,5,0.8027,-0.0750,0.0199,0.6785,0.9120,1.3292,0
196,5,0.7944,-0.0956,0.0214,0.7793,0.8829,1.4926,1
197,5,0.7802,-0.1195,0.0287,0.7584,0.8727,1.7190,1
198,5,0.7897,-0.1035,0.0239,0.7726,0.8811,1.4379,1
199,5,0.8004,-0.0806,0.0203,0.7539,0.8842,1.2690,1
200,5,0.8067,-0.0666,0.0188,0.7559,0.9262,1.2250,1
201,6,0.8752,-0.0816,-0.0962,0.8390,1.0247,1.7440,1
202,6,0.8750,-0.0834,-0.1035,0.8221,1.0414,2.2035,1
203,6,0.8751,-0.0812,-0.0946,0.7803,1.0958,1.8855,1
204,6,0.8751,-0.0812,-0.0938,0.7872,1.0592,1.7162,1
205,6,0.8750,-0.0833,-0.1047,0.8422,1.0271,1.9627,1
206,6,0.8750,-0.0834,-0.1044,0.8133,1.0125,1.8878,1
207,6,0.8750,-0.0834,-0.1033,0.8299,1.0365,1.9516,1
208,6,0.8751,-0.0812,-0.0926,0.8802,1.0367,1.7224,1
209,6,0.8751,-0.0828,-0.1010,0.7553,1.0865,1.8609,1
210,6,0.8750,-0.0832,-0.1022,0.7876,1.0478,1.8439,1
211,6,0.8752,-0.0815,-0.0957,0.7565,1.0830,1.7826,1
212,6,0.8751,-0.0822,-0.0986,0.8847,1.0254,1.9077,1
213,6,0.8751,-0.0812,-0.0933,0.7989,1.0402,1.6586,1
214,6,0.8751,-0.0812,-0.0927,0.7522,1.0794,1.7912,1
215,6,0.8751,-0.0830,-0.1055,0.8953,1.0541,2.1398,1
216,6,0.8752,-0.0820,-0.0977,0.8339,1.0266,1.9134,1
217,6,0.8752,-0.0816,-0.0962,0.7612,1.0864,1.7821,1
218,6,0.8751,-0.0828,-0.1007,0.8447,1.0299,1.8605,1
219,6,0.8751,-0.0812,-0.0935,0.7739,1.0659,1.6257,1
220,6,0.8750,-0.0831,-0.1019,0.8458,1.0509,2.2388,1
221,6,0.8750,-0.0834,-0.1040,0.8135,1.0246,2.0300,1
222,6,0.8752,-0.0816,-0.0962,0.7587,1.0814,1.8277,1
223,6,0.8750,-0.0832,-0.1026,0.7938,1.0358,1.7669,1
224,6,0.8752,-0.0825,-0.1066,0.7833,1.0576,2.0144,1
225,6,0.8750,-0.0831,-0.1017,0.7455,1.0699,1.9913,0
226,6,0.8751,-0.0832,-0.1050,0.7909,1.0625,2.3281,1
227,6,0.8750,-0.0831,-0.1021,0.7472,1.0699,2.0234,0
228,6,0.8750,-0.0833,-0.1030,0.8308,1.0366,1.8605,1
229,6,0.8751,-0.0823,-0.0987,0.7955,1.0395,1.6743,1
230,6,0.8751,-0.0823,-0.0991,0.7953,1.0321,1.7490,1
231,6,0.8751,-0.0812,-0.0945,0.8979,1.0311,1.8766,1
232,6,0.8751,-0.0829,-0.1011,0.7549,1.0808,1.8289,1
233,6,0.8750,-0.0834,-0.1043,0.8900,1.0608,2.2514,1
234,6,0.8751,-0.0827,-0.1005,0.8298,1.0316,2.0570,1
235,6,0.8751,-0.0825,-0.0997,0.7627,1.0702,1.7517,1
236,6,0.8751,-0.0812,-0.0933,0.8305,1.0371,1.6329,1
237,6,0.8753,-0.0823,-0.1072,0.7858,1.0955,2.1958,1
238,6,0.8752,-0.0826,-0.1064,0.8973,1.0577,2.2958,1
239,6,0.8751,-0.0824,-0.0992,0.8575,1.0250,2.0856,1
240,6,0.8751,-0.0812,-0.0934,0.8314,1.0146,1.9295,1
