scenario_idx,sc_id,m_sh,m_se_d,m_se_q,vdc_min,vdc_max,i2_max,lvrt_pass
338,8,0.9000,0.0000,0.0000,0.7517,1.1550,1.4014,1
339,8,0.9000,0.0000,0.0000,0.8142,1.1543,1.6831,1
340,8,0.9000,0.0000,0.0000,0.7307,1.0898,1.3920,0
341,8,0.9000,0.0000,0.0000,0.7717,1.1541,1.4853,1
342,8,0.9000,0.0000,0.0000,0.5493,1.1606,1.3775,0
343,8,0.9000,0.0000,0.0000,0.8040,1.1540,1.5590,1
344,8,0.9000,0.0000,0.0000,0.8012,1.1512,1.4463,1
345,8,0.9000,0.0000,0.0000,0.5688,1.1564,1.2628,0
346,8,0.9000,0.0000,0.0000,0.8197,1.0958,1.3177,1
347,8,0.9000,0.0000,0.0000,0.7064,1.1553,1.6150,0
348,8,0.9000,0.0000,0.0000,0.7800,1.1203,1.4311,1
349,8,0.9000,0.0000,0.0000,0.7419,1.0941,1.2171,0
350,8,0.9000,0.0000,0.0000,0.8856,1.1226,1.4823,1
