#{"t_start": 1782322144.7774675, "env_id": "None"}
r,l,t
101.91873,173,2413.853353
101.72672,173,2413.853353
100.759186,173,2413.853353
101.15104,172,2454.502065
101.12555,172,2454.502065
101.06975,172,2454.502065
101.42839,172,2454.502065
57.22417,201,2484.915031
58.830536,201,2484.915031
58.21829,201,2484.915031
58.017082,201,2484.915031
67.47129,197,2510.329185
67.411,197,2510.329185
64.15215,197,2510.329185
67.099525,197,2510.329185
67.36867,201,2533.940762
65.54625,201,2533.940762
67.787,201,2533.940762
64.515114,201,2533.940762
70.03658,197,2551.880407
69.92408,197,2551.880407
70.970146,197,2551.880407
69.277885,197,2551.880407
104.68213,171,2566.876163
105.45082,171,2566.876163
104.26724,171,2566.876163
103.353165,171,2566.876163
98.99403,176,2582.895177
98.38044,176,2582.895177
101.460304,176,2582.895177
99.65036,176,2582.895177
95.26141,177,2599.461741
96.43242,177,2599.461741
96.6169,177,2599.461741
96.03484,177,2599.461741
79.60195,193,2617.512138
77.715996,193,2617.512138
78.779205,193,2617.512138
76.09991,193,2617.512138
74.99939,197,2634.018707
74.32251,197,2634.02022
71.58998,197,2634.02022
74.97199,197,2634.02022
87.32947,183,2649.407426
88.88269,183,2649.407426
89.68561,183,2649.407426
88.47991,183,2649.407426
104.27696,174,2663.402403
103.238335,174,2663.402403
104.95265,174,2663.402403
103.88275,174,2663.402403
100.39301,174,2677.883603
101.115166,174,2677.884603
99.7829,174,2677.884603
101.44245,174,2677.884603
118.62386,194,2693.822643
117.57604,194,2693.822643
117.99097,194,2693.822643
116.83898,194,2693.822643
